Date,AAPL,JPM,TLT,GLD
2021-01-01,128.98930197819996,122.98608274873469,149.36413824653567,179.7987345385947
2021-01-04,129.4399185870618,123.87713093805304,147.40118163318922,181.0956893285484
2021-01-05,131.45642134135213,125.49734079002151,148.24007371058627,177.89300168222627
2021-01-06,134.8385458511808,126.99879366136932,147.35279459180398,180.1585784062562
2021-01-07,136.20185199574445,126.89092197247217,146.631414342015,180.31812161634443
2021-01-08,137.20507624733128,127.28613507718023,147.35105671972838,179.65400402850088
2021-01-11,140.673906203499,127.42614805813984,146.532764970456,179.5382057076793
2021-01-12,142.001190380509,127.7972339049612,147.29688926779517,179.51009284938527
2021-01-13,138.773986421275,128.2384228440712,148.01816066535116,176.63254044227554
2021-01-14,140.47768732755878,127.53352645121022,148.50445873594336,179.18087725362602
2021-01-15,140.152684854132,127.41688712629448,147.3773277949224,179.28642852571292
2021-01-18,139.92307268288943,125.45857407379881,148.6539602309932,180.074215757758
2021-01-19,138.50088922866317,126.33456031871302,148.83555475951874,181.7366731525062
2021-01-20,133.88150169801725,124.22154237327267,149.0678271173733,180.02723104156493
2021-01-21,132.7969455044982,120.65859693494673,149.72698918384134,180.87034066197205
2021-01-22,131.97242103696,121.36994984839166,148.23634950392832,180.44930267820652
2021-01-25,131.4868797512105,119.57169796941822,148.92859109869948,181.9350055939659
2021-01-26,132.15103324185378,119.13597299618485,147.88176341843655,178.34992906967057
2021-01-27,130.88674921896109,118.45450156386075,146.90221077103737,178.21836599589534
2021-01-28,130.14948050266895,118.22801082683694,145.92033558714883,177.24126199868
2021-01-29,131.83324187881007,118.80862592394567,146.52526253869635,178.0019989427049
2021-02-01,131.74172265246943,118.71110078541425,146.0201268822652,178.82983174464303
2021-02-02,131.30368281665704,119.31286995651278,147.42654256231575,177.67333533638424
2021-02-03,128.58384977522908,118.59400187023182,147.35775642069194,176.5167321746489
2021-02-04,127.43361496593734,118.2770034118572,145.9487913672068,176.367236993342
2021-02-05,128.03845722934705,118.09124724572985,144.90227876993072,174.91398433750638
2021-02-08,125.73748404790565,116.10173479920894,146.37992853231304,176.3461360599162
2021-02-09,128.18868729607732,116.66127565506554,146.13503292423323,175.76686361608108
2021-02-10,126.13953984741335,115.01704743501769,145.81482823733035,171.0384584314082
2021-02-11,125.55998344638259,111.87230064806106,146.0556877869478,170.4675765017299
2021-02-12,124.17238224773754,111.77183540011723,146.70318078415485,168.83640148047954
2021-02-15,129.12808099772408,114.6368028488342,147.2018551756367,166.2868838368429
2021-02-16,129.5108772571928,112.33383859916827,148.56395498766838,164.38649673705123
2021-02-17,129.4639670456939,110.35667043282012,148.55030853452277,164.58918283574636
2021-02-18,128.74730521315973,111.85996044386197,147.0811273717677,166.70161147993213
2021-02-19,127.37056540918971,112.73865728814744,147.06585367558245,167.22884178192172
2021-02-22,129.07188982720447,113.04685217403717,147.25435595853867,166.30620188034558
2021-02-23,126.30704743210335,110.43330517063868,146.94651564812114,167.0573190298203
2021-02-24,125.89883020354199,109.01788175568831,146.4603315140114,166.36720078153337
2021-02-25,125.59891975416299,110.61721947144378,146.72874387359911,165.3116457257392
2021-02-26,128.8239940496093,110.79613870028317,146.47594775526136,163.55072145035848
